id,down_time,up_time,action_time,word_count,Inpu,Move,Nonp,Past,Remo,Repl
16542171,59809,1705883,332484,389,2910,0,73,0,355,1
1677c88a,25901,1736921,147857,371,1136,0,224,1,90,1
1686e65a,34901,1671494,418768,436,3159,0,85,0,483,0
1698ffb9,27508,594270,183004,303,2018,0,27,0,128,0
16c2ea01,31039,791405,233383,280,1635,0,29,0,129,0
16e8b11f,43730,1796851,376809,529,3266,0,135,0,195,0
1772af76,24717,1886061,289528,376,2325,0,146,2,315,0
177c0f32,23359,1763483,212462,311,2173,1,160,0,397,1
17b23156,79767,1759549,293082,362,2499,0,403,0,311,0
17d3226a,72966,1588718,175257,236,1596,0,78,0,214,1
17dd8cb3,61255,1611519,197300,215,1426,0,31,0,62,0
1811b3dd,14808,1706799,177499,206,1579,0,97,0,360,0
183fdf47,31396,1781630,378700,568,3308,0,108,0,286,0
1849b0dd,19945,1797464,568376,994,5955,0,250,0,336,0
18546086,1694,1784555,610021,734,4883,0,372,0,445,0
186c795b,1575,1808351,312290,397,2890,0,114,0,495,1
1894b127,4163,1873194,456388,434,4456,0,375,0,2001,0
18cb3b82,1122,1867826,301446,401,2554,0,86,0,152,0
1908a463,1184,1823730,272333,403,2734,0,93,0,219,9
19312bdb,2113,1823298,300158,519,3041,0,276,0,309,0
196a6369,49955,1491408,344178,255,2164,0,458,0,587,4
1972e933,33156,1830562,301986,357,2480,0,472,0,529,2
1986a3d4,4137,1812017,193303,219,1233,0,207,0,90,1
19950714,28614,1686010,252935,338,2256,0,143,4,464,0
19a76260,57828,1592428,290908,344,2099,0,38,0,251,0
19baa1dd,21871,1850928,273175,264,2025,0,87,0,485,1
19fbc46b,835,1796748,872372,441,3573,0,148,1,532,9
1a07f6cb,519,1809374,328396,604,4480,0,146,0,343,0
1a14d0f0,48134,1798366,279933,222,1970,0,338,0,596,0
1a1ca818,92156,1789985,317008,423,2621,0,58,0,194,0
1a2a5718,3232,1849241,853669,869,5266,0,109,0,436,2
1a6a67b1,147878,1863821,107781,221,1315,0,346,0,71,0
1a7861e7,4573,1859946,337748,186,2764,0,482,0,1410,3
1a7d6b4f,5463,1858147,271965,204,2313,0,16,1,362,0
1a8cbd7f,20217,1800132,518041,1326,8551,0,144,0,565,1
1a926362,1669,1801697,261538,246,2003,0,264,0,601,2
1a97368f,62068,1776395,530465,512,3428,0,109,0,389,2
1a99ca29,65357,1755439,543604,483,3641,0,577,0,806,0
1a9e8903,41536,1345789,352897,454,3046,0,51,0,142,0
1ab08776,3058,1796162,330291,226,1848,0,44,0,551,0
1abc20b4,12408,1773629,265344,424,3121,0,77,0,421,6
1acb2b61,17323,1721174,218168,479,3009,0,102,0,272,4
1acc5907,139376,1842019,259035,282,1793,0,206,0,122,0
1af8f766,1324,1798637,401664,450,3236,0,192,0,548,0
1b170ded,6549,1751860,544335,482,3963,0,152,0,1183,0
1b192ac5,1513,1800941,165299,214,1395,0,120,0,195,0
1b1beabd,23442,1795394,235191,223,1478,0,87,0,108,0
1b22c07e,37384,1817331,538753,607,3893,0,377,0,330,2
1b2f3b8b,47899,1947971,687682,478,4489,0,6100,0,598,24
1b5a2340,47989,1799347,269218,292,1826,0,31,0,90,0
1b6ef74e,44432,1808219,197433,230,1673,0,61,0,321,6
1b74bce8,1824,1798269,338583,614,3575,0,80,0,199,0
1b83a657,5164,1862589,174564,255,1751,0,108,0,287,0
1b8d8f77,228196,1830978,164671,232,1713,0,110,0,111,0
1b8f6a12,33893,1859443,584953,487,3102,0,93,0,163,1
1b909812,41977,1604955,217884,291,1664,0,83,0,70,0
1ba0622f,14044,1805129,293999,603,3706,0,169,0,276,0
1bc286cd,4066,1793135,196580,323,2370,0,145,0,229,13
1c08fe1a,213057,1829108,87186,162,1129,0,44,0,94,0
1c1f46a8,82065,1710178,371864,335,2493,0,115,0,793,0
1c3f6510,4496,1799503,177107,204,1359,0,35,0,140,0
1c4fcca3,615,1809006,347835,366,2841,0,839,1,939,0
1c540433,3725,1117585,139835,220,1289,0,435,0,80,0
1c81cb79,23312,1797222,626576,462,3319,0,5025,0,660,0
1cc9ea58,109610,1733628,288982,419,3433,0,53,0,908,0
1cd167a4,25435,1417704,215048,367,2135,0,155,0,104,0
1cd86e70,26492,1737092,317945,256,2034,0,71,0,402,0
1d14ba28,44642,1864672,249893,219,1659,0,75,0,297,0
1d199f1e,29622,1726545,185142,300,1753,0,45,0,135,0
1d5c3490,70111,1785154,140542,217,1268,0,528,0,69,0
1d716bff,14024,1368782,185764,244,1456,0,32,0,83,0
1d8cf496,770,1778999,178298,240,1590,0,93,0,195,2
1db1735e,1069,1803466,491589,379,3549,0,150,1,518,13
1dc5440c,160860,1859850,27303,224,1517,0,139,0,109,3
1df0730e,22173,1804345,842602,896,6386,0,141,0,741,4
1e12f119,16966,1738685,352906,461,2985,0,82,0,474,0
1e2a01f5,55963,1798395,406042,572,3481,0,896,0,407,2
1e7fc25a,77442,1607142,280612,245,1647,0,55,0,309,2
1e882f60,89701,1838081,164052,234,1661,0,112,0,292,1
1e8e8e18,1709,1813101,129331,218,1367,0,126,0,115,0
1ebb9b74,1889,1838980,137351,220,1289,0,19,0,93,0
1f66e7f7,1651,1499541,30505,215,1510,0,50,0,65,0
1fb7a3e6,29332,1803132,243831,483,2935,0,163,0,295,0
1fbb8840,41974,1814339,419661,507,3599,0,119,0,529,7
1fbedb17,53402,1800335,576659,847,5034,0,244,0,370,0
1fbf2800,30958,1680948,340659,449,2867,0,109,7,400,0
203a6602,93539,1827555,506623,497,3285,0,479,0,595,0
20678203,4939,1729176,341469,322,2164,0,63,0,203,5
2081c45e,31732,1520619,436568,617,4156,0,84,0,747,0
2083b2d1,7122,1803625,447945,450,3102,0,23,0,712,0
20ae730b,1439,1804579,492555,434,3254,1,452,1,421,14
20d1a4a0,1174,1798105,902792,661,4738,0,817,0,493,9
20f66977,44548,1834874,88657,171,1140,0,122,0,80,0
20ffdd91,66331,1756664,581661,207,4349,0,27,0,3137,0
210aa189,35713,1799755,187012,309,2002,0,84,0,172,0
21170932,35978,1761866,222156,240,1625,0,120,0,175,1
211bf668,1029,1664609,144047,219,1327,0,54,0,166,0
213d79d9,71638,1727643,211610,201,1027,0,22,0,24,0
21434532,48398,1823369,286013,407,2258,0,54,0,107,0
214992f5,3104,1725109,250568,223,2569,0,677,1,78,0
216e0bad,2526,1801077,304621,501,3150,0,70,0,203,0
21707506,28702,1728498,238770,228,1586,0,54,0,231,0
2191981f,46526,1732063,199879,238,1378,0,77,0,134,0
219277f2,1941,2183237,338331,422,3116,0,81,1,650,1
219e5338,1706,2479752,162612,235,1548,0,87,0,142,0
219eeff1,6425,1807800,256579,200,1221,1,136,0,121,0
21bbc3f6,7452424,8313707,137914,262,1391,0,164,0,31,0
2203d0fc,717,1702140,406465,370,3312,0,232,0,882,0
22106b1d,48057,1793251,369899,416,2775,0,106,0,218,2
2222cd90,43335,1674995,277683,369,2478,0,324,1,495,3
2255eafc,2436,1802345,366903,200,2353,0,106,0,365,0
225dcef1,929,1796689,291317,241,1646,0,116,0,203,11
2277b17f,29502,1756755,496854,528,3598,0,59,0,444,3
227e9aca,6218,1802981,111430,202,1354,0,76,0,122,0
227fc5d4,57757,1668654,321142,532,3376,1,131,0,141,0
228f56af,24145,1761449,178167,216,1490,0,57,0,243,7
2294b205,2297,1752782,220990,225,1488,0,49,2,247,0
22982ff4,3146,1798827,341408,404,2612,0,91,0,209,0
22b5b6db,3898,1801024,509209,207,3669,0,98,0,2246,1
22ca4a3d,29412,1835096,463598,408,2935,0,188,0,659,0
22ce0bc8,1309,1799118,472186,725,4487,0,145,0,314,3
22d9276d,55761,1765603,415828,543,4756,0,75,0,1095,1
23022dee,69093,1853544,265984,108,1295,0,668,0,447,4
230b73d3,406366,1805652,232632,214,1456,0,139,0,206,0
233d1540,1392,1803335,361749,280,1934,0,2281,0,159,5
236171e4,43828,1802495,327704,241,1931,0,1120,2,343,3
23717103,1815,1734842,229863,248,1734,0,34,0,187,0
2381064c,45984,1778507,179716,249,1491,0,86,0,46,0
2383d924,2926,1699019,523602,647,4559,0,644,0,891,0
23855e0b,17300,1770199,528493,452,4162,0,222,1,1413,0
23bce305,152963,1752808,296016,411,2595,0,123,0,231,0
23d865a7,7508,1744805,242497,257,2083,0,325,0,498,0
2428fa05,41830,1790134,326439,579,4621,0,1666,0,803,11
2440d983,802,1869670,583779,514,4359,0,2459,1,1024,0
24870b2d,52986,1759148,231947,264,1655,0,875,0,75,0
24eab250,153976,1803333,306477,322,1965,0,24,0,107,0
24ef4fa9,36287,1771200,315739,493,3091,0,113,0,366,0
2522a736,3002,1796333,174706,258,1504,0,57,0,55,0
2534ca96,1311,1724277,709420,344,3567,0,399,0,1046,0
25354b83,76907,1797980,138902,207,1435,0,52,0,169,0
253b2cdc,107793,1746341,126784,204,1126,0,83,0,60,0
257fb4a6,29257,1779395,270188,404,2347,0,47,0,132,1
25835eca,48342,1261312,257491,352,2341,0,45,0,330,0
258ecfdc,140701,1765034,317194,227,1558,0,90,0,291,0
259b5a0f,3364,1834499,542517,288,1900,0,4941,0,77,1
25c3877c,836,1756378,567350,563,4116,0,123,0,286,2
25c5a18a,46051,1801175,215148,268,1821,0,502,0,95,0
25dd857a,11709,1792783,175218,595,3297,0,46,0,194,0
2600692d,1434,1817990,608419,631,4485,0,191,0,766,1
263d3129,50104,1772900,410200,338,2234,0,198,0,484,0
2641df91,77005,1570141,194337,226,1553,0,203,0,386,0
264d3c96,29753,1800433,448771,502,3358,0,454,0,595,0
267f8752,23544,2122211,399603,288,2600,0,327,0,1445,0
2682c94b,52062,1802251,412122,339,2376,0,2845,0,485,0
269fbbdd,2527,1720858,205863,227,1558,0,1570,0,193,0
27027716,116680,1795449,317968,383,2828,0,285,1,393,7
2717fdef,3195,1797718,124723,227,1652,0,57,0,181,0
279b22e6,3318,1802699,260529,269,1734,0,109,0,151,1
27b7f5c5,1748,1799186,490411,493,3404,0,110,0,511,0
27c6585d,151443,1772562,62555,217,1748,0,186,0,416,0
284aca12,95702,1420092,156051,209,1386,0,31,0,131,0
285a0153,6735,1760834,129007,205,1096,0,247,0,61,0
2863f4b7,1439,1772500,232108,400,2217,0,119,0,96,0
2889d0db,3588,1897084,130832,201,1175,0,31,0,125,0
28b77182,1236,1751164,353760,381,2666,0,241,0,473,0
28e0fc72,5339,1788400,392571,439,3226,0,125,0,606,4
28efbd1a,16991,1765683,219536,202,1746,0,202,1,628,0
290789f7,4892,1779966,254243,287,1734,0,76,0,195,0
2917977d,53920,1783781,238650,328,1976,0,73,1,237,0
292bd5f7,5050,1795864,242613,359,2533,0,68,0,243,3
293d6cb1,2365,689733,238466,308,1903,0,54,0,150,0
2967ec05,3170,1762316,455677,543,4174,0,111,0,538,8
29b7f2f6,9011,3987141,243185,202,1311,2,772,0,91,1
29d4417d,2677,1877063,459739,604,3934,0,168,0,301,3
2a11b826,2943,1741979,293831,415,2520,0,644,0,257,0
2a4db519,1552,1513474,258470,445,3103,0,67,0,422,0
2a5f1f40,31374,1739725,252421,522,3554,0,215,0,496,0
2a614234,5407,1963207,196014,223,1641,0,250,0,208,0
2a7b72fa,95585,1874543,331514,473,2881,0,79,0,269,2
2a829632,17662,1801484,202068,243,1562,0,67,0,129,0
2ad0867e,102685,1810475,255960,220,1581,1,338,0,227,3
2b1539df,14206,1797134,532822,479,4155,0,131,0,943,3
2b4ce8a8,31404,1792311,427346,519,3203,0,84,0,179,1
2b58cd89,706,1772177,361836,564,3817,0,219,0,431,11
2b6c176d,102618,1791901,162198,227,1633,0,61,0,223,3
2b9d70b2,236351,1787183,67556,221,1171,0,109,0,36,0
2ba1a84d,119478,1858559,196650,182,1335,0,60,0,246,0
2bb9bf81,1543,1791554,333238,374,2966,0,120,1,458,4
2bcfd704,51726,1798448,253704,318,1973,0,75,0,184,0
2bdba7f6,4042,790488,215653,377,2196,0,41,0,97,0
2bf2d921,10461,1833452,184036,281,1684,0,52,13,116,0
2c13728c,1019,1787726,229015,358,2558,0,81,0,455,0
2c30b48b,8795,1803648,460394,218,2170,0,104,1,588,0
2c31fe42,2531,1831056,269798,351,2712,0,819,0,558,0
2c342490,1656,1804401,457692,371,4016,0,527,4,749,13
2c3a98ab,1952,1809518,192428,231,1784,0,161,0,290,0
2c403362,3657,1783315,192614,213,1564,0,121,0,195,0
2c6da667,1854,1801801,469275,468,2898,0,68,0,213,1
2c73e7d0,1331,1615083,231696,256,1616,0,78,0,167,0
2c75e15a,47616,1802563,159679,238,1813,0,220,0,215,0
2c7997a3,1257,1669942,260211,401,2426,0,179,0,324,0
2d299968,2442,1792743,416107,594,4023,0,1286,0,332,0
2d394d34,274483,1739006,108009,205,1384,0,402,0,145,0
2d51209a,27020,1773331,234412,232,1743,0,198,0,252,0
2d58eb30,28007,1884227,649840,1233,7435,0,568,0,405,2
2d82f063,79551,1783504,200368,271,1833,0,157,0,285,0
2d83c6c9,1841,1799670,460710,322,2748,0,103,0,866,1
2d8a6af2,1654,3890121,680884,366,3918,0,4943,1,1727,2
2d9342d0,1226,1762980,309709,221,1997,0,233,0,690,0
2d9c35e8,1304,946361,182194,230,1776,0,46,0,407,1
2da56fa6,6648,1751853,243419,245,1875,0,423,0,306,1
2da9a8cb,5623,1559440,392202,626,4232,0,85,0,480,0
2dabece2,413761,2513475,312018,670,4879,0,430,0,1153,1
2db46aff,83804,1754567,293324,314,2026,0,52,0,219,0
2db77950,42373,1800346,352260,368,2275,0,122,0,74,0
2dbeea4a,85640,1808252,487836,401,3087,0,427,0,768,0
2dc069c3,27952,1802529,621897,519,3225,0,387,0,352,0
2e01a66f,37608,1807085,546897,1186,7390,0,402,0,687,0
2e0fcc07,98597,1779413,288889,215,1819,0,183,0,208,0
2e2e145e,28919,1798130,197168,273,1733,0,324,0,216,0
2e303d69,29864,1866746,409282,378,3797,0,1094,0,1542,8
