down_time,up_time,action_time,word_count,Inpu,Move,Nonp,Past,Remo,Repl,Space,Backspace,Delete,Control,Enter
2376,1091145,85232,213,1222,0,13,0,75,0,228,75,0,0,2
51604,1774918,191029,296,1844,0,236,0,149,0,330,149,0,0,10
14647,1798252,393954,514,3203,0,118,0,292,3,564,292,0,0,4
4696,1760335,187967,205,1357,0,21,0,86,0,253,86,0,0,2
13756,1782525,218141,282,1890,0,67,0,110,0,302,110,0,0,6
1455,1812336,676552,426,3783,0,777,0,1344,2,707,1360,0,1,8
42690,1853454,393391,670,4313,0,713,0,781,0,834,653,149,0,7
15047,1793742,226819,303,2058,0,299,0,224,6,378,212,12,9,5
17337,1831669,302985,741,4847,0,87,1,346,9,858,345,0,0,10
6535,1779002,162480,212,1369,0,159,0,82,0,267,82,0,0,4
16459,2122899,464202,422,3621,0,80,0,1076,0,613,1076,0,0,9
2354,1781946,217513,234,1487,0,27,0,224,0,251,224,1,0,4
1705,1789335,201312,207,1422,0,89,0,229,0,284,246,0,1,2
76050,1786628,225588,222,1758,0,100,0,382,0,289,378,5,0,12
19758,1833776,160927,400,2505,0,124,0,198,1,436,198,0,0,0
41309,1843303,348678,285,2259,0,56,0,644,1,393,644,0,1,4
1864,1749122,460878,849,5050,0,710,0,286,0,884,286,0,0,8
21564,1784124,317033,495,3236,0,98,1,474,0,553,474,0,0,9
57042,1757751,344751,491,3021,0,99,0,222,2,530,222,0,0,8
33782,1808093,437190,670,4202,0,96,0,227,1,761,223,4,0,8
22651,1720082,450945,453,3421,0,311,0,727,4,623,727,0,2,8
29639,1830922,274246,397,2427,0,198,0,266,0,454,266,0,117,6
34594,1807347,660335,1037,5723,0,114,0,325,0,1095,325,0,0,10
3280,1892001,439642,336,2787,0,1374,0,511,3,451,456,63,0,9
21511,1798986,481526,673,3776,0,232,0,219,0,709,219,0,0,14
11916,1831953,323940,659,4198,0,137,0,587,1,783,587,0,0,8
168863,1739391,478946,546,4301,0,59,0,900,3,764,902,0,0,11
92593,3804464,621465,551,3871,0,298,1,528,22,672,511,17,1,9
8474,1798960,291567,275,1924,3,188,0,298,0,310,291,7,1,8
2063,1817338,367558,277,2973,0,550,0,999,3,542,1003,0,1,15
57539,1751972,435230,259,2764,0,280,0,1257,0,473,1291,0,0,6
38837,1768897,425206,341,2150,0,117,0,285,0,397,285,0,0,3
968,1791262,388258,554,3675,0,277,0,428,2,624,428,0,0,40
277052,1795209,327203,365,2504,0,74,0,201,4,414,191,10,0,17
809556,2307949,199831,275,1606,0,136,0,59,1,288,59,0,0,6
73537,1810097,255150,442,2667,0,90,1,242,0,487,242,0,0,1
731,1752860,275392,245,1800,0,300,0,248,1,317,248,0,0,4
65679,1800042,372720,413,2553,0,56,0,376,0,483,376,0,0,6
30620,1822128,753978,692,5484,0,199,0,808,3,930,808,0,0,7
3309,229548,43885,72,428,0,46,0,32,1,78,39,0,1,0
47276,1749992,365114,479,2974,0,64,0,139,0,533,139,0,0,10
1822,1769662,235100,224,1457,0,62,0,133,0,259,130,3,0,8
881,1859268,273099,341,2434,0,248,1,171,15,405,171,0,2,14
17430,1873984,789121,480,4005,0,5582,1,765,17,727,764,0,16,10
12558,1801629,442609,561,4118,0,1098,0,626,15,706,626,0,0,6
2119,1806831,316999,312,2322,0,485,1,555,5,412,505,49,37,10
39100,1752836,441443,404,2897,0,100,0,471,9,501,471,0,0,4
1259,1765750,378681,243,1841,0,54,0,423,0,343,423,0,0,2
43000,1802209,251613,378,3054,0,331,0,392,3,497,392,0,0,8
168539,1883353,587207,541,3991,0,318,0,637,8,662,637,0,0,9
43384,1872650,579877,974,5844,0,94,0,468,0,1070,468,0,0,6
29242,1794771,363234,634,3668,0,240,0,331,0,687,331,0,0,6
2616,2652454,152997,205,1537,0,84,0,184,0,234,184,0,0,0
6597,1845555,141825,204,1374,0,115,0,233,0,259,233,0,0,9
1643,1830701,269532,245,1676,0,192,0,425,0,331,425,0,0,5
23773,1749227,354685,420,3034,0,999,0,461,1,480,461,0,0,8
43746,1803405,523191,627,4134,0,290,0,692,0,785,694,0,0,14
54604,1902016,365287,308,2433,0,175,0,728,8,455,729,1,0,6
28535,1796797,236409,279,1723,0,82,1,146,1,321,123,22,0,6
95364,2058719,245999,238,1585,0,262,0,132,1,450,132,0,24,24
234396,1601131,413931,397,2912,0,572,2,571,4,508,571,0,4,7
20344,1789185,249529,305,2356,0,479,0,552,0,389,552,0,0,8
44912,1776981,159742,306,1791,0,60,0,108,0,344,108,0,0,6
3507,1765284,505046,554,4300,0,108,0,1214,0,768,1214,0,0,10
49546,1784538,173308,239,1375,0,32,0,17,0,239,18,0,0,6
42061,1590352,177832,366,2119,0,190,1,176,0,387,176,0,0,5
2878,1866819,306119,382,2678,0,42,0,293,3,452,293,0,0,4
1543,1803240,365948,519,3391,0,166,0,243,6,599,218,25,0,6
1295,1737679,351072,311,2675,0,97,0,807,0,479,813,0,0,5
329823,1908183,361781,257,2606,0,197,0,938,4,402,938,0,0,7
54747,2254474,295531,266,1891,0,136,0,184,1,315,184,0,0,6
953,1751684,209695,397,2365,0,33,0,151,0,417,151,0,0,3
74860,1887895,467630,420,2804,0,38,0,386,0,511,386,0,0,2
1585,2185959,144056,228,1326,0,27,0,73,0,234,75,0,0,6
747,1709925,462145,503,3336,0,55,0,393,0,560,393,0,0,6
10878,1806380,158530,257,1832,0,76,0,202,0,372,202,0,0,5
90996,1973319,226443,449,2877,1,172,0,263,2,517,263,0,0,11
4909,1806699,471257,254,2858,0,293,0,1101,0,1535,1101,0,0,5
718,1809065,429043,445,3182,0,171,0,734,0,581,734,0,7,5
31273,1699707,389928,414,3082,0,325,0,573,11,525,572,1,0,7
62791,1763090,231830,377,2513,0,185,0,383,0,442,365,18,0,10
209352,1746102,437073,508,3228,0,148,0,240,0,573,240,0,0,6
4510,1760206,447689,231,2058,0,123,4,469,4,352,465,0,0,12
63397,1853248,208314,594,3379,0,258,0,137,0,616,137,0,1,8
87667,1776522,161910,205,1380,0,230,0,125,0,238,145,0,0,7
657,1181492,542761,408,3832,0,322,0,1355,2,659,1362,0,2,6
1354,1866366,439049,783,5050,0,111,0,467,0,860,470,0,0,14
2356,1833847,198073,221,1332,0,76,0,119,0,249,119,0,0,0
2400,1927468,418729,335,2262,0,52,0,124,0,356,124,0,0,17
23634,1775714,278263,321,2191,0,81,0,471,0,440,471,0,1,2
768,1819762,534456,555,4290,0,614,0,860,4,753,869,4,4,8
30343,1803570,287860,378,2174,0,82,0,88,0,413,88,0,0,5
1423,1835059,554347,710,4390,0,281,0,329,0,763,329,0,0,13
16248,1782231,359620,542,3536,0,197,0,423,4,628,423,0,1,7
14210,1716888,424749,428,3619,0,495,0,609,13,554,567,42,0,12
77777,1820710,306040,355,3272,0,153,1,954,12,530,953,0,4,11
27938,1621307,439039,508,3314,0,107,0,327,2,570,327,0,0,13
56079,1771508,332752,319,2907,0,753,0,829,0,478,829,0,0,4
1849,1810404,175753,255,1499,0,102,0,129,0,285,129,0,0,6
1202,1796939,445201,439,3096,0,457,2,324,9,505,323,0,23,13
43481,1760945,214818,467,3152,0,79,0,440,0,556,440,0,0,6
10187,1728003,235154,227,1648,0,284,0,166,0,273,166,0,0,6
28530,1801597,283556,281,2371,0,231,0,316,8,363,294,22,0,32
42356,1727870,586470,494,4163,0,111,0,963,0,665,963,0,9,9
3852,1259084,174712,246,1570,0,38,0,102,1,255,102,0,0,3
116896,1840814,347253,624,3744,0,469,0,121,0,649,119,2,0,12
102884,1806029,206878,235,1630,0,94,0,116,0,249,96,20,0,10
912,1776967,527090,741,5050,0,245,0,631,0,842,631,0,0,14
3085,1784268,531383,596,3930,0,95,0,599,0,720,599,0,0,10
26663,1711428,257679,355,2820,0,273,1,657,0,493,663,0,1,10
87841,1824448,303862,469,3133,0,175,1,354,0,511,353,0,2,10
1525,1798678,301843,438,2920,0,94,0,408,0,522,403,5,0,17
3974,1805722,428715,509,3533,0,578,0,540,6,620,540,0,0,8
50243,1752524,419882,389,2463,0,345,0,399,0,460,399,0,0,9
18148,1802384,369783,393,2552,0,20,0,400,0,452,403,0,0,3
876,1775661,371131,431,3578,0,153,0,783,0,549,783,0,0,11
1728,1774093,314310,262,2134,0,369,0,511,0,335,441,70,0,8
12308,1345945,403313,395,3151,0,50,0,431,1,505,438,0,0,7
779,1733258,319011,325,2053,0,65,0,248,0,365,248,0,0,4
2239,2956025,137068,210,1245,0,37,0,49,0,241,48,1,0,6
2796,1855454,455807,433,3054,0,89,0,114,0,452,108,6,0,3
237579,1928107,196945,140,1504,0,70,0,273,0,240,274,0,0,4
46158,1648983,216181,217,1614,0,57,0,163,1,269,163,0,0,8
3047,1865397,181311,323,2063,0,468,0,249,0,390,249,0,0,3
1624,1814615,386767,251,2547,0,1200,7,146,13,390,139,14,48,6
53688,1773526,370495,351,2258,0,833,0,197,1,410,197,0,0,10
2278,1114571,261178,267,2210,0,92,0,485,3,334,485,0,2,8
64710,1825172,210156,335,2347,0,49,0,296,7,408,296,0,0,9
33238,1778108,157428,283,1758,0,252,0,49,5,291,45,4,0,6
53418,1781313,451023,331,2778,0,1721,0,856,0,482,856,0,0,10
5016,1797200,346936,345,3008,0,133,0,924,1,528,924,0,0,13
148372,1786487,201654,303,1833,0,187,0,42,5,321,41,1,0,6
35980,1732509,507165,593,4178,0,801,0,395,2,748,394,1,0,8
142675,1815977,543942,308,3348,0,204,1,1469,1,609,1467,2,11,14
112357,1796944,434941,281,2204,0,1271,0,394,0,336,368,26,0,8
24407,1819805,334795,535,3734,0,205,0,518,3,655,518,0,0,9
25796,1778318,212773,322,2164,0,114,0,349,1,371,349,0,0,3
46418,1752614,214037,259,1771,0,134,0,253,4,333,201,52,0,6
977,1792526,349835,318,2930,0,217,4,503,11,522,499,0,12,55
786,1714383,710205,697,4573,0,195,1,610,2,826,610,0,4,9
1612,1491284,162942,205,1425,0,34,1,355,0,238,375,0,1,11
23091,1796270,787141,698,4547,0,415,0,758,0,837,650,108,0,11
26203,1913242,177907,215,1675,0,78,0,269,0,252,269,0,0,4
19051,1859608,828702,599,5189,0,605,1,1320,4,849,1323,0,11,19
30670,1700442,139355,210,1163,0,152,0,24,0,230,24,0,0,0
2140,1676283,360403,266,1951,0,111,0,363,0,341,363,0,0,9
398970,1808553,78922,208,1347,0,73,0,206,0,253,206,0,0,11
30054,1816287,555185,475,3127,0,152,0,302,3,549,302,0,0,17
1130,1799633,197709,243,1651,0,281,0,188,0,441,187,1,14,12
1778,1397619,131712,221,1473,0,43,0,140,2,243,140,0,0,4
1974,1798549,940491,782,5371,0,186,0,593,0,880,582,11,0,7
37123,1055599,235060,304,1926,0,81,1,178,0,369,178,0,0,7
103364,1794853,194815,256,1662,0,52,0,112,1,299,111,1,0,7
7378,1674550,285952,279,2273,0,396,0,360,0,396,355,5,0,6
22308,1803241,514034,542,3731,0,102,0,666,3,679,666,0,0,6
2310,1685405,295739,483,3013,0,118,0,474,0,575,432,42,0,7
28026,1763619,185441,228,1648,0,36,0,378,0,276,378,0,0,13
1528,1830533,177133,231,1149,0,377,2,132,0,329,131,0,4,4
968,1681137,450535,452,3480,0,511,0,789,17,618,789,0,0,3
1402,1788577,453407,356,2922,0,1199,0,411,11,508,398,13,0,7
3178,1799645,232031,310,1830,0,97,0,51,2,333,51,0,0,12
21999,1780755,141317,228,1393,0,48,0,147,0,259,147,0,1,2
129758,1808995,253164,271,1783,0,92,0,83,9,298,84,0,0,11
64318,1772872,178080,259,1766,0,31,0,326,0,306,326,0,0,15
73049,1862749,411381,233,2955,0,145,1,800,14,485,800,0,30,10
27664,1793034,561227,537,4345,0,180,0,1058,0,706,1062,1,0,9
21303,1754892,211331,213,1477,0,337,1,179,0,285,186,1,113,3
74525,1773936,357237,288,2387,0,67,0,642,0,401,642,0,0,6
123171,1783040,223292,286,1756,0,38,0,193,1,328,193,0,0,10
1061,1799740,241178,254,2193,0,258,2,402,0,402,400,0,0,96
1376,1804132,503295,855,4588,0,55,0,143,2,889,138,5,0,30
49761,1894665,227561,286,1907,0,193,0,258,0,336,240,18,2,4
23506,1795258,436410,435,2672,0,3425,0,171,5,462,121,50,0,10
2121,1615579,294641,336,2319,0,429,0,300,2,407,300,0,0,6
8739,1836967,252443,224,2059,0,124,0,559,0,306,559,0,0,8
23065,1228096,150344,272,1708,0,46,0,201,0,308,201,0,0,2
30604,1540582,239798,384,2677,0,67,0,344,1,481,344,0,0,6
59809,1705883,332484,389,2910,0,73,0,355,1,460,355,0,0,9
25901,1736921,147857,371,1136,0,224,1,90,1,216,90,0,2,7
34901,1671494,418768,436,3159,0,85,0,483,0,515,482,1,0,6
27508,594270,183004,303,2018,0,27,0,128,0,324,128,0,0,3
31039,791405,233383,280,1635,0,29,0,129,0,319,129,0,0,6
43730,1796851,376809,529,3266,0,135,0,195,0,563,195,0,0,13
24717,1886061,289528,376,2325,0,146,2,315,0,456,315,0,0,9
23359,1763483,212462,311,2173,1,160,0,397,1,393,397,0,0,9
79767,1759549,293082,362,2499,0,403,0,311,0,435,304,7,0,8
72966,1588718,175257,236,1596,0,78,0,214,1,281,214,0,0,7
61255,1611519,197300,215,1426,0,31,0,62,0,334,64,0,0,2
14808,1706799,177499,206,1579,0,97,0,360,0,267,403,0,0,11
31396,1781630,378700,568,3308,0,108,0,286,0,617,286,0,0,16
19945,1797464,568376,994,5955,0,250,0,336,0,1129,336,0,0,12
1694,1784555,610021,734,4883,0,372,0,445,0,836,445,0,0,10
1575,1808351,312290,397,2890,0,114,0,495,1,472,495,0,0,4
4163,1873194,456388,434,4456,0,375,0,2001,0,836,1408,600,0,10
1122,1867826,301446,401,2554,0,86,0,152,0,425,152,0,0,5
1184,1823730,272333,403,2734,0,93,0,219,9,453,219,0,0,9
2113,1823298,300158,519,3041,0,276,0,309,0,572,309,0,0,0
49955,1491408,344178,255,2164,0,458,0,587,4,366,587,0,0,10
33156,1830562,301986,357,2480,0,472,0,529,2,484,529,0,0,6
4137,1812017,193303,219,1233,0,207,0,90,1,265,90,0,0,0
28614,1686010,252935,338,2256,0,143,4,464,0,408,472,0,9,11
57828,1592428,290908,344,2099,0,38,0,251,0,407,251,0,0,2
21871,1850928,273175,264,2025,0,87,0,485,1,372,486,0,0,6
835,1796748,872372,441,3573,0,148,1,532,9,552,535,0,2,4
519,1809374,328396,604,4480,0,146,0,343,0,707,343,0,0,4
48134,1798366,279933,222,1970,0,338,0,596,0,274,604,0,0,9
92156,1789985,317008,423,2621,0,58,0,194,0,456,193,1,0,4
3232,1849241,853669,869,5266,0,109,0,436,2,936,437,0,0,12
147878,1863821,107781,221,1315,0,346,0,71,0,240,79,0,0,4
4573,1859946,337748,186,2764,0,482,0,1410,3,369,1582,0,39,10
5463,1858147,271965,204,2313,0,16,1,362,0,1342,362,0,0,7
20217,1800132,518041,1326,8551,0,144,0,565,1,1413,565,0,0,14
1669,1801697,261538,246,2003,0,264,0,601,2,351,593,8,0,2
62068,1776395,530465,512,3428,0,109,0,389,2,603,390,0,0,11
65357,1755439,543604,483,3641,0,577,0,806,0,595,806,0,0,8
41536,1345789,352897,454,3046,0,51,0,142,0,485,142,0,0,6
3058,1796162,330291,226,1848,0,44,0,551,0,364,551,0,0,9
12408,1773629,265344,424,3121,0,77,0,421,6,518,421,0,0,7
17323,1721174,218168,479,3009,0,102,0,272,4,522,272,0,0,8
139376,1842019,259035,282,1793,0,206,0,122,0,304,122,0,0,9
1324,1798637,401664,450,3236,0,192,0,548,0,549,548,0,0,8
6549,1751860,544335,482,3963,0,152,0,1183,0,670,1183,0,0,4
1513,1800941,165299,214,1395,0,120,0,195,0,242,179,16,0,16
23442,1795394,235191,223,1478,0,87,0,108,0,244,108,0,0,6
37384,1817331,538753,607,3893,0,377,0,330,2,671,306,24,0,16
47899,1947971,687682,478,4489,0,6100,0,598,24,715,583,15,0,23
47989,1799347,269218,292,1826,0,31,0,90,0,345,90,0,0,4
44432,1808219,197433,230,1673,0,61,0,321,6,302,321,0,1,4
1824,1798269,338583,614,3575,0,80,0,199,0,668,199,0,0,3
5164,1862589,174564,255,1751,0,108,0,287,0,303,292,0,1,5
228196,1830978,164671,232,1713,0,110,0,111,0,322,111,0,0,16
33893,1859443,584953,487,3102,0,93,0,163,1,573,163,0,0,5
41977,1604955,217884,291,1664,0,83,0,70,0,318,70,0,1,2
14044,1805129,293999,603,3706,0,169,0,276,0,689,276,0,0,4
4066,1793135,196580,323,2370,0,145,0,229,13,409,229,0,0,4
213057,1829108,87186,162,1129,0,44,0,94,0,206,94,0,0,5
82065,1710178,371864,335,2493,0,115,0,793,0,489,796,0,1,8
4496,1799503,177107,204,1359,0,35,0,140,0,229,140,0,0,2
615,1809006,347835,366,2841,0,839,1,939,0,469,939,0,1,78
3725,1117585,139835,220,1289,0,435,0,80,0,266,86,0,0,9
23312,1797222,626576,462,3319,0,5025,0,660,0,569,660,0,0,8
109610,1733628,288982,419,3433,0,53,0,908,0,653,908,0,0,5
25435,1417704,215048,367,2135,0,155,0,104,0,381,104,0,0,23
26492,1737092,317945,256,2034,0,71,0,402,0,334,407,0,0,8
44642,1864672,249893,219,1659,0,75,0,297,0,265,297,0,0,6
29622,1726545,185142,300,1753,0,45,0,135,0,322,135,0,1,4
70111,1785154,140542,217,1268,0,528,0,69,0,224,70,0,1,7
14024,1368782,185764,244,1456,0,32,0,83,0,277,83,0,0,3
770,1778999,178298,240,1590,0,93,0,195,2,283,195,0,0,7
1069,1803466,491589,379,3549,0,150,1,518,13,544,518,0,0,5
160860,1859850,27303,224,1517,0,139,0,109,3,262,109,0,0,2
22173,1804345,842602,896,6386,0,141,0,741,4,1072,741,0,0,14
16966,1738685,352906,461,2985,0,82,0,474,0,519,476,0,0,6
55963,1798395,406042,572,3481,0,896,0,407,2,653,408,0,0,15
77442,1607142,280612,245,1647,0,55,0,309,2,331,309,0,0,6
89701,1838081,164052,234,1661,0,112,0,292,1,311,292,0,0,4
1709,1813101,129331,218,1367,0,126,0,115,0,238,115,0,0,4
1889,1838980,137351,220,1289,0,19,0,93,0,244,93,0,0,7
1651,1499541,30505,215,1510,0,50,0,65,0,223,65,0,0,4
29332,1803132,243831,483,2935,0,163,0,295,0,553,294,1,0,5
41974,1814339,419661,507,3599,0,119,0,529,7,648,528,1,0,9
53402,1800335,576659,847,5034,0,244,0,370,0,940,370,0,0,10
30958,1680948,340659,449,2867,0,109,7,400,0,543,400,0,0,10
93539,1827555,506623,497,3285,0,479,0,595,0,651,601,0,0,13
4939,1729176,341469,322,2164,0,63,0,203,5,375,203,0,0,6
31732,1520619,436568,617,4156,0,84,0,747,0,735,747,0,0,6
7122,1803625,447945,450,3102,0,23,0,712,0,518,713,0,0,6
1439,1804579,492555,434,3254,1,452,1,421,14,562,401,19,12,18
1174,1798105,902792,661,4738,0,817,0,493,9,786,487,6,39,8
44548,1834874,88657,171,1140,0,122,0,80,0,248,80,0,0,13
66331,1756664,581661,207,4349,0,27,0,3137,0,235,3137,0,0,29
35713,1799755,187012,309,2002,0,84,0,172,0,511,172,0,0,7
35978,1761866,222156,240,1625,0,120,0,175,1,298,198,0,0,7
1029,1664609,144047,219,1327,0,54,0,166,0,248,161,5,1,4
71638,1727643,211610,201,1027,0,22,0,24,0,208,38,0,0,7
48398,1823369,286013,407,2258,0,54,0,107,0,429,107,0,0,2
3104,1725109,250568,223,2569,0,677,1,78,0,652,78,0,0,10
2526,1801077,304621,501,3150,0,70,0,203,0,535,203,0,0,12
28702,1728498,238770,228,1586,0,54,0,231,0,311,231,0,0,11
46526,1732063,199879,238,1378,0,77,0,134,0,262,134,0,0,3
1941,2183237,338331,422,3116,0,81,1,650,1,552,650,0,0,10
1706,2479752,162612,235,1548,0,87,0,142,0,253,142,0,0,6
6425,1807800,256579,200,1221,1,136,0,121,0,220,121,0,1,4
7452424,8313707,137914,262,1391,0,164,0,31,0,263,31,0,0,6
717,1702140,406465,370,3312,0,232,0,882,0,566,880,2,0,9
48057,1793251,369899,416,2775,0,106,0,218,2,454,218,0,0,9
43335,1674995,277683,369,2478,0,324,1,495,3,469,495,0,1,10
2436,1802345,366903,200,2353,0,106,0,365,0,1273,419,0,0,13
929,1796689,291317,241,1646,0,116,0,203,11,285,203,0,0,12
29502,1756755,496854,528,3598,0,59,0,444,3,631,444,0,0,7
6218,1802981,111430,202,1354,0,76,0,122,0,283,122,0,0,13
57757,1668654,321142,532,3376,1,131,0,141,0,551,141,0,0,8
24145,1761449,178167,216,1490,0,57,0,243,7,261,243,0,0,9
2297,1752782,220990,225,1488,0,49,2,247,0,284,247,0,0,6
3146,1798827,341408,404,2612,0,91,0,209,0,439,209,0,0,6
3898,1801024,509209,207,3669,0,98,0,2246,1,2217,2248,1,8,313
29412,1835096,463598,408,2935,0,188,0,659,0,503,659,0,0,8
1309,1799118,472186,725,4487,0,145,0,314,3,804,314,0,0,8
55761,1765603,415828,543,4756,0,75,0,1095,1,760,1089,6,0,6
69093,1853544,265984,108,1295,0,668,0,447,4,225,447,0,0,14
406366,1805652,232632,214,1456,0,139,0,206,0,271,217,0,0,6
1392,1803335,361749,280,1934,0,2281,0,159,5,333,159,0,0,4
43828,1802495,327704,241,1931,0,1120,2,343,3,319,343,0,0,6
1815,1734842,229863,248,1734,0,34,0,187,0,272,187,0,0,29
45984,1778507,179716,249,1491,0,86,0,46,0,351,46,0,0,7
2926,1699019,523602,647,4559,0,644,0,891,0,789,896,0,0,8
17300,1770199,528493,452,4162,0,222,1,1413,0,714,1413,0,29,8
152963,1752808,296016,411,2595,0,123,0,231,0,483,231,0,0,13
7508,1744805,242497,257,2083,0,325,0,498,0,324,498,0,0,10
41830,1790134,326439,579,4621,0,1666,0,803,11,768,802,1,11,4
802,1869670,583779,514,4359,0,2459,1,1024,0,730,1005,19,0,7
52986,1759148,231947,264,1655,0,875,0,75,0,285,75,1,0,6
153976,1803333,306477,322,1965,0,24,0,107,0,345,107,0,0,3
36287,1771200,315739,493,3091,0,113,0,366,0,548,366,0,0,2
3002,1796333,174706,258,1504,0,57,0,55,0,310,55,0,0,3
1311,1724277,709420,344,3567,0,399,0,1046,0,591,1046,0,0,8
76907,1797980,138902,207,1435,0,52,0,169,0,271,169,1,0,6
107793,1746341,126784,204,1126,0,83,0,60,0,226,60,0,0,2
29257,1779395,270188,404,2347,0,47,0,132,1,491,132,0,0,6
48342,1261312,257491,352,2341,0,45,0,330,0,415,330,0,0,4
140701,1765034,317194,227,1558,0,90,0,291,0,266,291,0,0,6
3364,1834499,542517,288,1900,0,4941,0,77,1,340,77,0,6,4
836,1756378,567350,563,4116,0,123,0,286,2,623,286,0,0,7
46051,1801175,215148,268,1821,0,502,0,95,0,291,93,2,0,8
11709,1792783,175218,595,3297,0,46,0,194,0,628,194,0,0,6
1434,1817990,608419,631,4485,0,191,0,766,1,786,766,0,0,10
50104,1772900,410200,338,2234,0,198,0,484,0,409,484,0,1,13
77005,1570141,194337,226,1553,0,203,0,386,0,317,386,0,0,0
29753,1800433,448771,502,3358,0,454,0,595,0,600,595,0,0,15
23544,2122211,399603,288,2600,0,327,0,1445,0,324,1704,0,0,6
52062,1802251,412122,339,2376,0,2845,0,485,0,437,485,0,0,5
2527,1720858,205863,227,1558,0,1570,0,193,0,253,193,0,0,4
116680,1795449,317968,383,2828,0,285,1,393,7,511,379,14,9,11
3195,1797718,124723,227,1652,0,57,0,181,0,253,184,0,0,4
3318,1802699,260529,269,1734,0,109,0,151,1,292,151,0,5,4
1748,1799186,490411,493,3404,0,110,0,511,0,591,511,0,0,6
151443,1772562,62555,217,1748,0,186,0,416,0,295,405,11,0,8
95702,1420092,156051,209,1386,0,31,0,131,0,242,131,0,0,13
6735,1760834,129007,205,1096,0,247,0,61,0,227,61,0,0,0
1439,1772500,232108,400,2217,0,119,0,96,0,421,89,7,1,10
3588,1897084,130832,201,1175,0,31,0,125,0,233,125,0,0,0
1236,1751164,353760,381,2666,0,241,0,473,0,470,473,0,0,6
5339,1788400,392571,439,3226,0,125,0,606,4,525,606,0,0,4
16991,1765683,219536,202,1746,0,202,1,628,0,325,637,0,0,5
4892,1779966,254243,287,1734,0,76,0,195,0,345,195,0,0,2
53920,1783781,238650,328,1976,0,73,1,237,0,379,237,0,0,7
5050,1795864,242613,359,2533,0,68,0,243,3,418,243,0,0,8
2365,689733,238466,308,1903,0,54,0,150,0,335,150,0,0,4
3170,1762316,455677,543,4174,0,111,0,538,8,701,538,0,0,10
9011,3987141,243185,202,1311,2,772,0,91,1,234,90,1,1,4
