down_time,up_time,action_time,word_count,Inpu,Move,Nonp,Past,Remo,Repl
34599,1669973,339745,471,3230,0,173,0,511,1
1311,1803555,432711,327,2121,0,3655,1,164,0
36912,1751210,584386,530,4334,0,140,0,1289,0
46648,730936,259895,271,1905,0,53,0,359,0
3871,1784997,360784,396,2773,0,155,1,290,3
77920,1963166,105600,214,1421,0,214,0,61,1
484,1718155,462577,531,4653,0,248,1,1057,15
2376,1091145,85232,213,1222,0,13,0,75,0
51604,1774918,191029,296,1844,0,236,0,149,0
14647,1798252,393954,514,3203,0,118,0,292,3
4696,1760335,187967,205,1357,0,21,0,86,0
13756,1782525,218141,282,1890,0,67,0,110,0
1455,1812336,676552,426,3783,0,777,0,1344,2
42690,1853454,393391,670,4313,0,713,0,781,0
15047,1793742,226819,303,2058,0,299,0,224,6
17337,1831669,302985,741,4847,0,87,1,346,9
6535,1779002,162480,212,1369,0,159,0,82,0
16459,2122899,464202,422,3621,0,80,0,1076,0
2354,1781946,217513,234,1487,0,27,0,224,0
1705,1789335,201312,207,1422,0,89,0,229,0
76050,1786628,225588,222,1758,0,100,0,382,0
19758,1833776,160927,400,2505,0,124,0,198,1
41309,1843303,348678,285,2259,0,56,0,644,1
1864,1749122,460878,849,5050,0,710,0,286,0
21564,1784124,317033,495,3236,0,98,1,474,0
57042,1757751,344751,491,3021,0,99,0,222,2
33782,1808093,437190,670,4202,0,96,0,227,1
22651,1720082,450945,453,3421,0,311,0,727,4
29639,1830922,274246,397,2427,0,198,0,266,0
34594,1807347,660335,1037,5723,0,114,0,325,0
3280,1892001,439642,336,2787,0,1374,0,511,3
21511,1798986,481526,673,3776,0,232,0,219,0
11916,1831953,323940,659,4198,0,137,0,587,1
168863,1739391,478946,546,4301,0,59,0,900,3
92593,3804464,621465,551,3871,0,298,1,528,22
8474,1798960,291567,275,1924,3,188,0,298,0
2063,1817338,367558,277,2973,0,550,0,999,3
57539,1751972,435230,259,2764,0,280,0,1257,0
38837,1768897,425206,341,2150,0,117,0,285,0
968,1791262,388258,554,3675,0,277,0,428,2
277052,1795209,327203,365,2504,0,74,0,201,4
809556,2307949,199831,275,1606,0,136,0,59,1
73537,1810097,255150,442,2667,0,90,1,242,0
731,1752860,275392,245,1800,0,300,0,248,1
65679,1800042,372720,413,2553,0,56,0,376,0
30620,1822128,753978,692,5484,0,199,0,808,3
3309,229548,43885,72,428,0,46,0,32,1
47276,1749992,365114,479,2974,0,64,0,139,0
1822,1769662,235100,224,1457,0,62,0,133,0
881,1859268,273099,341,2434,0,248,1,171,15
17430,1873984,789121,480,4005,0,5582,1,765,17
12558,1801629,442609,561,4118,0,1098,0,626,15
2119,1806831,316999,312,2322,0,485,1,555,5
39100,1752836,441443,404,2897,0,100,0,471,9
1259,1765750,378681,243,1841,0,54,0,423,0
43000,1802209,251613,378,3054,0,331,0,392,3
168539,1883353,587207,541,3991,0,318,0,637,8
43384,1872650,579877,974,5844,0,94,0,468,0
29242,1794771,363234,634,3668,0,240,0,331,0
2616,2652454,152997,205,1537,0,84,0,184,0
6597,1845555,141825,204,1374,0,115,0,233,0
1643,1830701,269532,245,1676,0,192,0,425,0
23773,1749227,354685,420,3034,0,999,0,461,1
43746,1803405,523191,627,4134,0,290,0,692,0
54604,1902016,365287,308,2433,0,175,0,728,8
28535,1796797,236409,279,1723,0,82,1,146,1
95364,2058719,245999,238,1585,0,262,0,132,1
234396,1601131,413931,397,2912,0,572,2,571,4
20344,1789185,249529,305,2356,0,479,0,552,0
44912,1776981,159742,306,1791,0,60,0,108,0
3507,1765284,505046,554,4300,0,108,0,1214,0
49546,1784538,173308,239,1375,0,32,0,17,0
42061,1590352,177832,366,2119,0,190,1,176,0
2878,1866819,306119,382,2678,0,42,0,293,3
1543,1803240,365948,519,3391,0,166,0,243,6
1295,1737679,351072,311,2675,0,97,0,807,0
329823,1908183,361781,257,2606,0,197,0,938,4
54747,2254474,295531,266,1891,0,136,0,184,1
953,1751684,209695,397,2365,0,33,0,151,0
74860,1887895,467630,420,2804,0,38,0,386,0
1585,2185959,144056,228,1326,0,27,0,73,0
747,1709925,462145,503,3336,0,55,0,393,0
10878,1806380,158530,257,1832,0,76,0,202,0
90996,1973319,226443,449,2877,1,172,0,263,2
4909,1806699,471257,254,2858,0,293,0,1101,0
718,1809065,429043,445,3182,0,171,0,734,0
31273,1699707,389928,414,3082,0,325,0,573,11
62791,1763090,231830,377,2513,0,185,0,383,0
209352,1746102,437073,508,3228,0,148,0,240,0
4510,1760206,447689,231,2058,0,123,4,469,4
63397,1853248,208314,594,3379,0,258,0,137,0
87667,1776522,161910,205,1380,0,230,0,125,0
657,1181492,542761,408,3832,0,322,0,1355,2
1354,1866366,439049,783,5050,0,111,0,467,0
2356,1833847,198073,221,1332,0,76,0,119,0
2400,1927468,418729,335,2262,0,52,0,124,0
23634,1775714,278263,321,2191,0,81,0,471,0
768,1819762,534456,555,4290,0,614,0,860,4
30343,1803570,287860,378,2174,0,82,0,88,0
1423,1835059,554347,710,4390,0,281,0,329,0
16248,1782231,359620,542,3536,0,197,0,423,4
14210,1716888,424749,428,3619,0,495,0,609,13
77777,1820710,306040,355,3272,0,153,1,954,12
27938,1621307,439039,508,3314,0,107,0,327,2
56079,1771508,332752,319,2907,0,753,0,829,0
1849,1810404,175753,255,1499,0,102,0,129,0
1202,1796939,445201,439,3096,0,457,2,324,9
43481,1760945,214818,467,3152,0,79,0,440,0
10187,1728003,235154,227,1648,0,284,0,166,0
28530,1801597,283556,281,2371,0,231,0,316,8
42356,1727870,586470,494,4163,0,111,0,963,0
3852,1259084,174712,246,1570,0,38,0,102,1
116896,1840814,347253,624,3744,0,469,0,121,0
102884,1806029,206878,235,1630,0,94,0,116,0
912,1776967,527090,741,5050,0,245,0,631,0
3085,1784268,531383,596,3930,0,95,0,599,0
26663,1711428,257679,355,2820,0,273,1,657,0
87841,1824448,303862,469,3133,0,175,1,354,0
1525,1798678,301843,438,2920,0,94,0,408,0
3974,1805722,428715,509,3533,0,578,0,540,6
50243,1752524,419882,389,2463,0,345,0,399,0
18148,1802384,369783,393,2552,0,20,0,400,0
876,1775661,371131,431,3578,0,153,0,783,0
1728,1774093,314310,262,2134,0,369,0,511,0
12308,1345945,403313,395,3151,0,50,0,431,1
779,1733258,319011,325,2053,0,65,0,248,0
2239,2956025,137068,210,1245,0,37,0,49,0
2796,1855454,455807,433,3054,0,89,0,114,0
237579,1928107,196945,140,1504,0,70,0,273,0
46158,1648983,216181,217,1614,0,57,0,163,1
3047,1865397,181311,323,2063,0,468,0,249,0
1624,1814615,386767,251,2547,0,1200,7,146,13
53688,1773526,370495,351,2258,0,833,0,197,1
2278,1114571,261178,267,2210,0,92,0,485,3
64710,1825172,210156,335,2347,0,49,0,296,7
33238,1778108,157428,283,1758,0,252,0,49,5
53418,1781313,451023,331,2778,0,1721,0,856,0
5016,1797200,346936,345,3008,0,133,0,924,1
148372,1786487,201654,303,1833,0,187,0,42,5
35980,1732509,507165,593,4178,0,801,0,395,2
142675,1815977,543942,308,3348,0,204,1,1469,1
112357,1796944,434941,281,2204,0,1271,0,394,0
24407,1819805,334795,535,3734,0,205,0,518,3
25796,1778318,212773,322,2164,0,114,0,349,1
46418,1752614,214037,259,1771,0,134,0,253,4
977,1792526,349835,318,2930,0,217,4,503,11
786,1714383,710205,697,4573,0,195,1,610,2
1612,1491284,162942,205,1425,0,34,1,355,0
23091,1796270,787141,698,4547,0,415,0,758,0
26203,1913242,177907,215,1675,0,78,0,269,0
19051,1859608,828702,599,5189,0,605,1,1320,4
30670,1700442,139355,210,1163,0,152,0,24,0
2140,1676283,360403,266,1951,0,111,0,363,0
398970,1808553,78922,208,1347,0,73,0,206,0
30054,1816287,555185,475,3127,0,152,0,302,3
1130,1799633,197709,243,1651,0,281,0,188,0
1778,1397619,131712,221,1473,0,43,0,140,2
1974,1798549,940491,782,5371,0,186,0,593,0
37123,1055599,235060,304,1926,0,81,1,178,0
103364,1794853,194815,256,1662,0,52,0,112,1
7378,1674550,285952,279,2273,0,396,0,360,0
22308,1803241,514034,542,3731,0,102,0,666,3
2310,1685405,295739,483,3013,0,118,0,474,0
28026,1763619,185441,228,1648,0,36,0,378,0
1528,1830533,177133,231,1149,0,377,2,132,0
968,1681137,450535,452,3480,0,511,0,789,17
1402,1788577,453407,356,2922,0,1199,0,411,11
3178,1799645,232031,310,1830,0,97,0,51,2
21999,1780755,141317,228,1393,0,48,0,147,0
129758,1808995,253164,271,1783,0,92,0,83,9
64318,1772872,178080,259,1766,0,31,0,326,0
73049,1862749,411381,233,2955,0,145,1,800,14
27664,1793034,561227,537,4345,0,180,0,1058,0
21303,1754892,211331,213,1477,0,337,1,179,0
74525,1773936,357237,288,2387,0,67,0,642,0
123171,1783040,223292,286,1756,0,38,0,193,1
1061,1799740,241178,254,2193,0,258,2,402,0
1376,1804132,503295,855,4588,0,55,0,143,2
49761,1894665,227561,286,1907,0,193,0,258,0
23506,1795258,436410,435,2672,0,3425,0,171,5
2121,1615579,294641,336,2319,0,429,0,300,2
8739,1836967,252443,224,2059,0,124,0,559,0
23065,1228096,150344,272,1708,0,46,0,201,0
30604,1540582,239798,384,2677,0,67,0,344,1
59809,1705883,332484,389,2910,0,73,0,355,1
25901,1736921,147857,371,1136,0,224,1,90,1
34901,1671494,418768,436,3159,0,85,0,483,0
27508,594270,183004,303,2018,0,27,0,128,0
31039,791405,233383,280,1635,0,29,0,129,0
43730,1796851,376809,529,3266,0,135,0,195,0
24717,1886061,289528,376,2325,0,146,2,315,0
23359,1763483,212462,311,2173,1,160,0,397,1
79767,1759549,293082,362,2499,0,403,0,311,0
72966,1588718,175257,236,1596,0,78,0,214,1
61255,1611519,197300,215,1426,0,31,0,62,0
14808,1706799,177499,206,1579,0,97,0,360,0
31396,1781630,378700,568,3308,0,108,0,286,0
19945,1797464,568376,994,5955,0,250,0,336,0
1694,1784555,610021,734,4883,0,372,0,445,0
1575,1808351,312290,397,2890,0,114,0,495,1
4163,1873194,456388,434,4456,0,375,0,2001,0
1122,1867826,301446,401,2554,0,86,0,152,0
1184,1823730,272333,403,2734,0,93,0,219,9
2113,1823298,300158,519,3041,0,276,0,309,0
49955,1491408,344178,255,2164,0,458,0,587,4
33156,1830562,301986,357,2480,0,472,0,529,2
4137,1812017,193303,219,1233,0,207,0,90,1
28614,1686010,252935,338,2256,0,143,4,464,0
57828,1592428,290908,344,2099,0,38,0,251,0
21871,1850928,273175,264,2025,0,87,0,485,1
835,1796748,872372,441,3573,0,148,1,532,9
519,1809374,328396,604,4480,0,146,0,343,0
48134,1798366,279933,222,1970,0,338,0,596,0
92156,1789985,317008,423,2621,0,58,0,194,0
3232,1849241,853669,869,5266,0,109,0,436,2
147878,1863821,107781,221,1315,0,346,0,71,0
4573,1859946,337748,186,2764,0,482,0,1410,3
5463,1858147,271965,204,2313,0,16,1,362,0
20217,1800132,518041,1326,8551,0,144,0,565,1
1669,1801697,261538,246,2003,0,264,0,601,2
62068,1776395,530465,512,3428,0,109,0,389,2
65357,1755439,543604,483,3641,0,577,0,806,0
41536,1345789,352897,454,3046,0,51,0,142,0
3058,1796162,330291,226,1848,0,44,0,551,0
12408,1773629,265344,424,3121,0,77,0,421,6
17323,1721174,218168,479,3009,0,102,0,272,4
139376,1842019,259035,282,1793,0,206,0,122,0
1324,1798637,401664,450,3236,0,192,0,548,0
6549,1751860,544335,482,3963,0,152,0,1183,0
1513,1800941,165299,214,1395,0,120,0,195,0
23442,1795394,235191,223,1478,0,87,0,108,0
37384,1817331,538753,607,3893,0,377,0,330,2
47899,1947971,687682,478,4489,0,6100,0,598,24
47989,1799347,269218,292,1826,0,31,0,90,0
44432,1808219,197433,230,1673,0,61,0,321,6
1824,1798269,338583,614,3575,0,80,0,199,0
5164,1862589,174564,255,1751,0,108,0,287,0
228196,1830978,164671,232,1713,0,110,0,111,0
33893,1859443,584953,487,3102,0,93,0,163,1
41977,1604955,217884,291,1664,0,83,0,70,0
14044,1805129,293999,603,3706,0,169,0,276,0
4066,1793135,196580,323,2370,0,145,0,229,13
213057,1829108,87186,162,1129,0,44,0,94,0
82065,1710178,371864,335,2493,0,115,0,793,0
4496,1799503,177107,204,1359,0,35,0,140,0
615,1809006,347835,366,2841,0,839,1,939,0
3725,1117585,139835,220,1289,0,435,0,80,0
23312,1797222,626576,462,3319,0,5025,0,660,0
109610,1733628,288982,419,3433,0,53,0,908,0
25435,1417704,215048,367,2135,0,155,0,104,0
26492,1737092,317945,256,2034,0,71,0,402,0
44642,1864672,249893,219,1659,0,75,0,297,0
29622,1726545,185142,300,1753,0,45,0,135,0
70111,1785154,140542,217,1268,0,528,0,69,0
14024,1368782,185764,244,1456,0,32,0,83,0
770,1778999,178298,240,1590,0,93,0,195,2
1069,1803466,491589,379,3549,0,150,1,518,13
160860,1859850,27303,224,1517,0,139,0,109,3
22173,1804345,842602,896,6386,0,141,0,741,4
16966,1738685,352906,461,2985,0,82,0,474,0
55963,1798395,406042,572,3481,0,896,0,407,2
77442,1607142,280612,245,1647,0,55,0,309,2
89701,1838081,164052,234,1661,0,112,0,292,1
1709,1813101,129331,218,1367,0,126,0,115,0
1889,1838980,137351,220,1289,0,19,0,93,0
1651,1499541,30505,215,1510,0,50,0,65,0
29332,1803132,243831,483,2935,0,163,0,295,0
41974,1814339,419661,507,3599,0,119,0,529,7
53402,1800335,576659,847,5034,0,244,0,370,0
30958,1680948,340659,449,2867,0,109,7,400,0
93539,1827555,506623,497,3285,0,479,0,595,0
4939,1729176,341469,322,2164,0,63,0,203,5
31732,1520619,436568,617,4156,0,84,0,747,0
7122,1803625,447945,450,3102,0,23,0,712,0
1439,1804579,492555,434,3254,1,452,1,421,14
1174,1798105,902792,661,4738,0,817,0,493,9
44548,1834874,88657,171,1140,0,122,0,80,0
66331,1756664,581661,207,4349,0,27,0,3137,0
35713,1799755,187012,309,2002,0,84,0,172,0
35978,1761866,222156,240,1625,0,120,0,175,1
1029,1664609,144047,219,1327,0,54,0,166,0
71638,1727643,211610,201,1027,0,22,0,24,0
48398,1823369,286013,407,2258,0,54,0,107,0
3104,1725109,250568,223,2569,0,677,1,78,0
2526,1801077,304621,501,3150,0,70,0,203,0
28702,1728498,238770,228,1586,0,54,0,231,0
46526,1732063,199879,238,1378,0,77,0,134,0
1941,2183237,338331,422,3116,0,81,1,650,1
1706,2479752,162612,235,1548,0,87,0,142,0
6425,1807800,256579,200,1221,1,136,0,121,0
7452424,8313707,137914,262,1391,0,164,0,31,0
717,1702140,406465,370,3312,0,232,0,882,0
48057,1793251,369899,416,2775,0,106,0,218,2
43335,1674995,277683,369,2478,0,324,1,495,3
2436,1802345,366903,200,2353,0,106,0,365,0
929,1796689,291317,241,1646,0,116,0,203,11
29502,1756755,496854,528,3598,0,59,0,444,3
6218,1802981,111430,202,1354,0,76,0,122,0
57757,1668654,321142,532,3376,1,131,0,141,0
24145,1761449,178167,216,1490,0,57,0,243,7
2297,1752782,220990,225,1488,0,49,2,247,0
3146,1798827,341408,404,2612,0,91,0,209,0
3898,1801024,509209,207,3669,0,98,0,2246,1
29412,1835096,463598,408,2935,0,188,0,659,0
1309,1799118,472186,725,4487,0,145,0,314,3
55761,1765603,415828,543,4756,0,75,0,1095,1
69093,1853544,265984,108,1295,0,668,0,447,4
406366,1805652,232632,214,1456,0,139,0,206,0
1392,1803335,361749,280,1934,0,2281,0,159,5
43828,1802495,327704,241,1931,0,1120,2,343,3
1815,1734842,229863,248,1734,0,34,0,187,0
45984,1778507,179716,249,1491,0,86,0,46,0
2926,1699019,523602,647,4559,0,644,0,891,0
17300,1770199,528493,452,4162,0,222,1,1413,0
152963,1752808,296016,411,2595,0,123,0,231,0
7508,1744805,242497,257,2083,0,325,0,498,0
41830,1790134,326439,579,4621,0,1666,0,803,11
802,1869670,583779,514,4359,0,2459,1,1024,0
52986,1759148,231947,264,1655,0,875,0,75,0
153976,1803333,306477,322,1965,0,24,0,107,0
36287,1771200,315739,493,3091,0,113,0,366,0
3002,1796333,174706,258,1504,0,57,0,55,0
1311,1724277,709420,344,3567,0,399,0,1046,0
76907,1797980,138902,207,1435,0,52,0,169,0
107793,1746341,126784,204,1126,0,83,0,60,0
29257,1779395,270188,404,2347,0,47,0,132,1
48342,1261312,257491,352,2341,0,45,0,330,0
140701,1765034,317194,227,1558,0,90,0,291,0
3364,1834499,542517,288,1900,0,4941,0,77,1
836,1756378,567350,563,4116,0,123,0,286,2
46051,1801175,215148,268,1821,0,502,0,95,0
11709,1792783,175218,595,3297,0,46,0,194,0
1434,1817990,608419,631,4485,0,191,0,766,1
50104,1772900,410200,338,2234,0,198,0,484,0
77005,1570141,194337,226,1553,0,203,0,386,0
29753,1800433,448771,502,3358,0,454,0,595,0
23544,2122211,399603,288,2600,0,327,0,1445,0
52062,1802251,412122,339,2376,0,2845,0,485,0
2527,1720858,205863,227,1558,0,1570,0,193,0
116680,1795449,317968,383,2828,0,285,1,393,7
3195,1797718,124723,227,1652,0,57,0,181,0
3318,1802699,260529,269,1734,0,109,0,151,1
1748,1799186,490411,493,3404,0,110,0,511,0
151443,1772562,62555,217,1748,0,186,0,416,0
95702,1420092,156051,209,1386,0,31,0,131,0
6735,1760834,129007,205,1096,0,247,0,61,0
1439,1772500,232108,400,2217,0,119,0,96,0
3588,1897084,130832,201,1175,0,31,0,125,0
1236,1751164,353760,381,2666,0,241,0,473,0
5339,1788400,392571,439,3226,0,125,0,606,4
16991,1765683,219536,202,1746,0,202,1,628,0
4892,1779966,254243,287,1734,0,76,0,195,0
53920,1783781,238650,328,1976,0,73,1,237,0
5050,1795864,242613,359,2533,0,68,0,243,3
2365,689733,238466,308,1903,0,54,0,150,0
3170,1762316,455677,543,4174,0,111,0,538,8
9011,3987141,243185,202,1311,2,772,0,91,1
2677,1877063,459739,604,3934,0,168,0,301,3
2943,1741979,293831,415,2520,0,644,0,257,0
1552,1513474,258470,445,3103,0,67,0,422,0
31374,1739725,252421,522,3554,0,215,0,496,0
5407,1963207,196014,223,1641,0,250,0,208,0
95585,1874543,331514,473,2881,0,79,0,269,2
17662,1801484,202068,243,1562,0,67,0,129,0
102685,1810475,255960,220,1581,1,338,0,227,3
14206,1797134,532822,479,4155,0,131,0,943,3
31404,1792311,427346,519,3203,0,84,0,179,1
706,1772177,361836,564,3817,0,219,0,431,11
102618,1791901,162198,227,1633,0,61,0,223,3
236351,1787183,67556,221,1171,0,109,0,36,0
119478,1858559,196650,182,1335,0,60,0,246,0
1543,1791554,333238,374,2966,0,120,1,458,4
51726,1798448,253704,318,1973,0,75,0,184,0
4042,790488,215653,377,2196,0,41,0,97,0
10461,1833452,184036,281,1684,0,52,13,116,0
1019,1787726,229015,358,2558,0,81,0,455,0
8795,1803648,460394,218,2170,0,104,1,588,0
2531,1831056,269798,351,2712,0,819,0,558,0
1656,1804401,457692,371,4016,0,527,4,749,13
1952,1809518,192428,231,1784,0,161,0,290,0
3657,1783315,192614,213,1564,0,121,0,195,0
1854,1801801,469275,468,2898,0,68,0,213,1
1331,1615083,231696,256,1616,0,78,0,167,0
47616,1802563,159679,238,1813,0,220,0,215,0
1257,1669942,260211,401,2426,0,179,0,324,0
2442,1792743,416107,594,4023,0,1286,0,332,0
274483,1739006,108009,205,1384,0,402,0,145,0
27020,1773331,234412,232,1743,0,198,0,252,0
28007,1884227,649840,1233,7435,0,568,0,405,2
79551,1783504,200368,271,1833,0,157,0,285,0
1841,1799670,460710,322,2748,0,103,0,866,1
1654,3890121,680884,366,3918,0,4943,1,1727,2
1226,1762980,309709,221,1997,0,233,0,690,0
1304,946361,182194,230,1776,0,46,0,407,1
6648,1751853,243419,245,1875,0,423,0,306,1
5623,1559440,392202,626,4232,0,85,0,480,0
413761,2513475,312018,670,4879,0,430,0,1153,1
83804,1754567,293324,314,2026,0,52,0,219,0
42373,1800346,352260,368,2275,0,122,0,74,0
85640,1808252,487836,401,3087,0,427,0,768,0
27952,1802529,621897,519,3225,0,387,0,352,0
37608,1807085,546897,1186,7390,0,402,0,687,0
98597,1779413,288889,215,1819,0,183,0,208,0
28919,1798130,197168,273,1733,0,324,0,216,0
29864,1866746,409282,378,3797,0,1094,0,1542,8
53657,1867362,648085,292,3181,0,223,0,1146,0
24567,1763548,546719,610,3937,0,930,0,331,2
16274,1874196,176671,212,1244,0,148,0,53,0
41033,1748030,284768,445,3212,0,75,0,407,4
41781,1794674,446560,384,3220,0,971,1,470,14
1608,2291778,272870,258,1990,0,51,3,327,5
93204,1859330,447010,462,3661,0,235,0,799,1
1686,1782337,116342,264,1509,0,70,0,73,0
50123,1767333,298101,352,2487,0,1154,0,153,1
37129,1727599,416624,369,2508,0,3431,0,426,0
1553,1820688,468093,560,3411,0,261,6,145,0
24660,1830367,708346,784,5225,0,3165,0,697,4
2131,1841542,354327,525,3662,0,137,0,707,2
25974,1714910,251977,278,1961,0,143,0,296,0
988,1747786,365312,287,2183,0,26,0,615,0
2269,1745605,222366,201,1145,0,55,0,37,0
750,1787871,461389,512,4290,0,155,1,1059,15
64616,1854690,496373,619,4325,0,209,0,314,6
9727,1831194,189375,334,2083,0,150,1,59,7
1379,1808635,520453,499,3032,0,438,0,132,0
1678,1792192,578731,651,3958,0,181,0,261,0
60487,1666193,279684,513,3288,0,132,0,361,0
4266,1797767,527198,495,3489,0,601,0,403,16
137870,1858500,34733,215,1442,0,56,0,275,2
22165,1736791,615767,705,5792,0,959,0,860,42
51008,1872592,229753,328,2784,0,107,0,723,1
1078,1210435,119621,201,1214,0,35,0,130,0
1075,1597740,344787,398,2544,0,486,0,421,1
1064,1784140,437150,431,3120,0,1216,0,234,1
15418,1329827,174482,331,1813,0,102,0,104,0
119968,1917313,126090,209,1104,0,99,0,39,1
134449,1766253,132271,202,1241,0,95,0,127,0
55424,1790778,521304,573,3902,0,364,0,699,1
11828,1790788,279704,307,2075,0,25,0,247,0
1628,1594969,155317,277,1708,0,184,0,170,0
872805,1425182,163971,220,1362,0,27,8,133,0
26556,1727500,559157,456,4244,0,58,0,1437,0
8336,1797655,140968,202,1193,0,125,0,101,0
31217,1808754,304496,409,2610,0,25,0,409,0
1535,1755968,167718,237,1418,0,157,0,141,0
7455,1334306,128048,234,1427,0,43,0,103,0
975,557392,259256,335,2008,0,25,0,213,0
21514,1795137,475771,474,3666,0,139,0,891,2
298895,1825334,380822,391,2757,0,217,0,408,4
1950,1620132,203930,214,1276,0,21,0,80,0
2229,1652686,830680,544,5139,0,936,1,1524,0
32572,1808308,190325,239,1639,0,40,0,239,0
35704,1773076,296743,369,2670,0,99,0,511,1
30766,1859754,282320,353,2561,0,133,0,445,0
34583,1749714,392851,532,3551,0,816,0,410,0
46188,1767300,281292,223,1685,0,105,0,365,0
27969,1813028,368373,576,3823,0,140,0,548,1
56519,1693777,135350,215,1592,0,70,0,31,0
5222,1841376,258007,412,2486,0,501,0,100,0
415413,1747860,289246,338,2402,0,64,0,58,1
21087,1816024,301076,314,1924,0,55,0,77,5
2298,1800659,324543,210,1845,0,522,0,751,0
672,1687732,959581,1141,7356,0,435,0,398,0
100588,1896967,432614,435,2771,0,52,1,247,0
2207,1790819,514665,441,2765,0,123,0,438,3
6696,1807248,186569,205,1618,0,94,0,253,0
45251,1784333,184497,253,1526,0,70,0,239,1
1279,1776017,546353,523,3741,0,85,1,401,0
5565,978172,318705,275,2012,0,131,0,324,2
129793,1711831,116560,212,1320,0,145,0,70,0
2123,1816842,322752,416,3048,0,123,0,437,3
10528,1716659,150399,202,1418,0,123,0,169,0
1631,1782093,166675,270,1804,0,49,0,187,0
80409,1824773,183447,264,1635,0,263,0,146,0
35449,1688110,538063,517,3280,0,83,0,454,0
41528,1859295,556131,269,2914,0,963,0,693,15
3262,1800595,280796,312,1926,0,74,0,108,4
2435,1107487,266828,392,2620,0,1720,0,464,0
22438,1770161,363478,462,2977,0,70,0,349,0
3291,1783286,488260,713,4267,0,111,0,329,0
27208,1764929,273413,337,2414,0,60,0,349,4
22871,2517732,176213,298,1775,0,61,0,150,0
2608,1797458,340424,432,2902,0,217,0,302,5
2644,1690145,494609,528,3060,0,106,0,90,0
848,1757547,297379,346,2275,0,390,0,262,1
30027,1783841,318174,507,3184,0,55,0,231,1
79596,1743490,283240,354,2487,0,499,0,298,4
84921,1804119,259576,280,1770,0,195,0,466,0
1845,1777962,238399,404,2639,0,64,0,231,1
2296,1757425,178417,245,1643,0,59,1,199,0
26340,697474,272051,370,2514,0,251,0,290,1
55574,1686769,253256,281,1880,0,97,0,423,1
101157,1870749,530618,501,3458,0,2830,3,624,2
29477,1710570,298476,370,2727,0,68,0,778,0
1045,1928688,617429,803,5850,0,135,0,697,2
737,1799806,398605,658,4666,0,186,0,530,10
50706,1790365,305164,498,2905,0,226,0,137,0
39200,1867996,484183,656,4760,0,180,0,603,12
900,1376058,432938,388,2868,0,460,0,514,0
37921,1766427,374062,312,2445,0,103,0,793,0
34446,1837120,456585,305,2810,0,301,0,937,2
29570,1777975,166582,214,1218,0,387,0,27,0
133738,1761102,205594,218,1551,0,530,1,249,5
2394,1795629,245325,208,1470,0,118,0,130,6
1426,1766122,139131,202,1343,0,39,0,95,0
21851,1806747,416486,506,3509,0,1187,0,670,0
21313,1769018,405694,575,3956,0,77,0,510,2
1563,1817713,49401,111,671,0,25,0,38,0
70929,1857761,406670,329,2124,0,81,0,154,1
2514,1731604,239520,273,2130,0,63,0,211,1
76890,1715286,207187,273,1773,0,38,0,158,1
1867,1725653,285362,301,1747,0,192,0,187,0
594,1755009,286219,350,2139,0,177,0,406,0
66873,1813800,346916,408,2280,0,111,0,82,1
3494,1785599,317258,396,2510,0,104,1,217,0
32625,1761226,379908,395,2760,0,391,2,461,0
44252,1665292,303525,753,4512,0,352,0,213,0
